date,energy_produced_Wh
12/13/2017,862
12/14/2017,753
12/15/2017,174
12/16/2017,262
12/17/2017,148
12/18/2017,102
12/19/2017,544
12/20/2017,"1,123"
12/21/2017,451
12/22/2017,421
12/23/2017,"1,061"
12/24/2017,114
12/25/2017,12
12/26/2017,219
12/27/2017,97
12/28/2017,177
12/29/2017,72
12/30/2017,267
12/31/2017,"1,010"
01/01/2018,"1,040"
01/02/2018,351
01/03/2018,"1,000"
01/04/2018,"5,450"
01/05/2018,"9,764"
01/06/2018,"9,650"
01/07/2018,"9,664"
01/08/2018,"9,950"
01/09/2018,"9,695"
01/10/2018,"9,714"
01/11/2018,"9,899"
01/12/2018,"9,654"
01/13/2018,"10,305"
01/14/2018,"10,472"
01/15/2018,"10,425"
01/16/2018,"9,378"
01/17/2018,"1,063"
01/18/2018,"2,146"
01/19/2018,"2,023"
01/20/2018,"2,306"
01/21/2018,"3,774"
01/22/2018,"5,468"
01/23/2018,584
01/24/2018,"1,170"
01/25/2018,"3,048"
01/26/2018,"1,917"
01/27/2018,"2,258"
01/28/2018,"2,081"
01/29/2018,640
01/30/2018,"9,615"
01/31/2018,"3,185"
02/01/2018,"1,953"
02/02/2018,"1,962"
02/03/2018,"1,279"
02/04/2018,"4,391"
02/05/2018,"2,673"
02/06/2018,"2,594"
02/07/2018,"2,373"
02/08/2018,"1,036"
02/09/2018,"13,348"
02/10/2018,"13,319"
02/11/2018,"12,606"
02/12/2018,"15,870"
02/13/2018,"11,249"
02/14/2018,"2,112"
02/15/2018,"5,145"
02/16/2018,"2,031"
02/17/2018,"11,210"
02/18/2018,"8,835"
02/19/2018,"17,414"
02/20/2018,"4,329"
02/21/2018,"5,831"
02/22/2018,"13,412"
02/23/2018,"4,576"
02/24/2018,"8,682"
02/25/2018,"7,351"
02/26/2018,"16,895"
02/27/2018,"4,492"
02/28/2018,"3,234"
03/01/2018,"16,727"
03/02/2018,"5,860"
03/03/2018,"17,478"
03/04/2018,"5,826"
03/05/2018,"7,215"
03/06/2018,"18,308"
03/07/2018,"8,756"
03/08/2018,"1,964"
03/09/2018,"14,393"
03/10/2018,"18,362"
03/11/2018,"18,149"
03/12/2018,"16,655"
03/13/2018,"2,440"
03/14/2018,"16,366"
03/15/2018,"19,395"
03/16/2018,"19,402"
03/17/2018,"8,917"
03/18/2018,"16,470"
03/19/2018,"13,580"
03/20/2018,"18,210"
03/21/2018,"13,861"
03/22/2018,"6,442"
03/23/2018,"9,234"
03/24/2018,"15,036"
03/25/2018,"17,731"
03/26/2018,"4,135"
03/27/2018,"2,678"
03/28/2018,"13,995"
03/29/2018,"12,701"
03/30/2018,"17,442"
03/31/2018,"17,527"
04/01/2018,"7,967"
04/02/2018,"19,015"
04/03/2018,"10,457"
04/04/2018,"3,906"
04/05/2018,"4,439"
04/06/2018,"14,266"
04/07/2018,"6,553"
04/08/2018,"3,751"
04/09/2018,"19,511"
04/10/2018,"15,310"
04/11/2018,"4,683"
04/12/2018,"10,080"
04/13/2018,"6,560"
04/14/2018,"4,387"
04/15/2018,"8,361"
04/16/2018,"5,280"
04/17/2018,"19,879"
04/18/2018,"20,810"
04/19/2018,"21,271"
04/20/2018,"13,872"
04/21/2018,"17,024"
04/22/2018,"21,470"
04/23/2018,"23,759"
04/24/2018,"22,023"
04/25/2018,"23,715"
04/26/2018,"22,647"
04/27/2018,"8,168"
04/28/2018,"7,520"
04/29/2018,"19,110"
04/30/2018,"11,822"
05/01/2018,"15,270"
05/02/2018,"22,849"
05/03/2018,"21,866"
05/04/2018,"16,400"
05/05/2018,"19,263"
05/06/2018,"18,249"
05/07/2018,"19,617"
05/08/2018,"18,778"
05/09/2018,"20,781"
05/10/2018,"12,192"
05/11/2018,"18,541"
05/12/2018,"24,369"
05/13/2018,"23,454"
05/14/2018,"23,127"
05/15/2018,"17,335"
05/16/2018,"21,987"
05/17/2018,"12,182"
05/18/2018,"12,143"
05/19/2018,"14,720"
05/20/2018,"14,741"
05/21/2018,"22,604"
05/22/2018,"24,344"
05/23/2018,"22,888"
05/24/2018,"18,221"
05/25/2018,"15,563"
05/26/2018,"17,075"
05/27/2018,"23,723"
05/28/2018,"21,735"
05/29/2018,"15,513"
05/30/2018,"22,064"
05/31/2018,"14,960"
06/01/2018,"22,157"
06/02/2018,"24,083"
06/03/2018,"10,724"
06/04/2018,"14,914"
06/05/2018,"22,009"
06/06/2018,"23,124"
06/07/2018,"18,484"
06/08/2018,"6,570"
06/09/2018,"17,357"
06/10/2018,"19,166"
06/11/2018,"21,448"
06/12/2018,"14,093"
06/13/2018,"19,516"
06/14/2018,"19,231"
06/15/2018,"24,973"
06/16/2018,"23,031"
06/17/2018,"24,370"
06/18/2018,"22,714"
06/19/2018,"23,645"
06/20/2018,"17,780"
06/21/2018,"16,185"
06/22/2018,"11,465"
06/23/2018,"17,003"
06/24/2018,"22,832"
06/25/2018,"17,114"
06/26/2018,"19,776"
06/27/2018,"12,800"
06/28/2018,"13,981"
06/29/2018,"15,778"
06/30/2018,"6,339"
07/01/2018,"14,073"
07/02/2018,"17,319"
07/03/2018,"24,611"
07/04/2018,"13,164"
07/05/2018,"23,031"
07/06/2018,"22,860"
07/07/2018,"20,459"
07/08/2018,"23,222"
07/09/2018,"19,776"
07/10/2018,"16,064"
07/11/2018,"23,979"
07/12/2018,"23,586"
07/13/2018,"23,349"
07/14/2018,"23,672"
07/15/2018,"23,217"
07/16/2018,"23,205"
07/17/2018,"23,766"
07/18/2018,"20,450"
07/19/2018,"11,963"
07/20/2018,"23,045"
07/21/2018,"23,185"
07/22/2018,"23,030"
07/23/2018,"22,880"
07/24/2018,"22,790"
07/25/2018,"22,374"
07/26/2018,"22,026"
07/27/2018,"22,234"
07/28/2018,"21,168"
07/29/2018,"21,454"
07/30/2018,"20,460"
07/31/2018,"18,476"
08/01/2018,"15,817"
08/02/2018,"5,351"
08/03/2018,"20,889"
08/04/2018,"22,469"
08/05/2018,"21,550"
08/06/2018,"21,078"
08/07/2018,"22,028"
08/08/2018,"20,096"
08/09/2018,"21,273"
08/10/2018,"20,258"
08/11/2018,"14,756"
08/12/2018,"14,569"
08/13/2018,"18,883"
08/14/2018,"17,628"
08/15/2018,"17,179"
08/16/2018,"10,969"
08/17/2018,"17,917"
08/18/2018,"20,608"
08/19/2018,"16,267"
08/20/2018,"15,595"
08/21/2018,"15,131"
08/22/2018,"16,687"
08/23/2018,"10,061"
08/24/2018,"16,473"
08/25/2018,"6,939"
08/26/2018,"7,168"
08/27/2018,"18,745"
08/28/2018,"19,812"
08/29/2018,"16,822"
08/30/2018,"15,102"
08/31/2018,"18,003"
09/01/2018,"15,323"
09/02/2018,"20,133"
09/03/2018,"18,604"
09/04/2018,"20,096"
09/05/2018,"19,140"
09/06/2018,"18,814"
09/07/2018,"12,807"
09/08/2018,"9,261"
09/09/2018,"15,256"
09/10/2018,"13,041"
09/11/2018,"17,150"
09/12/2018,"11,874"
09/13/2018,"13,071"
09/14/2018,"11,902"
09/15/2018,"6,608"
09/16/2018,"14,636"
09/17/2018,"17,027"
09/18/2018,"17,361"
09/19/2018,"18,637"
09/20/2018,"9,983"
09/21/2018,"10,011"
09/22/2018,"11,164"
09/23/2018,"16,993"
09/24/2018,"18,108"
09/25/2018,"17,910"
09/26/2018,"14,342"
09/27/2018,"17,380"
09/28/2018,"17,062"
09/29/2018,"10,299"
09/30/2018,"5,922"
10/01/2018,"3,305"
10/02/2018,"13,604"
10/03/2018,"9,172"
10/04/2018,"14,987"
10/05/2018,"2,046"
10/06/2018,"10,795"
10/07/2018,"6,144"
10/08/2018,"3,297"
10/09/2018,"4,230"
10/10/2018,"12,830"
10/11/2018,"10,834"
10/12/2018,"15,082"
10/13/2018,"14,291"
10/14/2018,"16,034"
10/15/2018,"15,317"
10/16/2018,"15,323"
10/17/2018,"15,171"
10/18/2018,"12,910"
10/19/2018,"10,638"
10/20/2018,"7,507"
10/21/2018,"7,561"
10/22/2018,"3,681"
10/23/2018,"5,565"
10/24/2018,"8,436"
10/25/2018,"1,557"
10/26/2018,"5,523"
10/27/2018,"4,413"
10/28/2018,"4,877"
10/29/2018,"5,001"
10/30/2018,"5,534"
10/31/2018,616
11/01/2018,"1,006"
11/02/2018,"7,114"
11/03/2018,"1,240"
11/04/2018,"7,256"
11/05/2018,"3,639"
11/06/2018,"7,117"
11/07/2018,"8,961"
11/08/2018,"9,858"
11/09/2018,"1,320"
11/10/2018,"8,364"
11/11/2018,"8,896"
11/12/2018,"9,066"
11/13/2018,"6,358"
11/14/2018,"2,166"
11/15/2018,"5,607"
11/16/2018,"3,301"
11/17/2018,"11,914"
11/18/2018,"11,520"
11/19/2018,"11,042"
11/20/2018,"7,552"
11/21/2018,"1,152"
11/22/2018,"1,946"
11/23/2018,"2,519"
11/24/2018,"3,997"
11/25/2018,"4,787"
11/26/2018,613
11/27/2018,"6,076"
11/28/2018,"1,167"
11/29/2018,"2,658"
11/30/2018,"3,397"
12/01/2018,"3,760"
12/02/2018,"2,740"
12/03/2018,"9,746"
12/04/2018,"10,818"
12/05/2018,"10,664"
12/06/2018,"10,507"
12/07/2018,"7,746"
12/08/2018,"1,422"
12/09/2018,425
12/10/2018,"5,822"
12/11/2018,471
12/12/2018,"2,364"
12/13/2018,849
12/14/2018,"1,231"
12/15/2018,"3,159"
12/16/2018,768
12/17/2018,"3,650"
12/18/2018,"2,979"
12/19/2018,"1,050"
12/20/2018,"1,385"
12/21/2018,"2,721"
12/22/2018,"1,724"
12/23/2018,"2,282"
12/24/2018,"8,395"
12/25/2018,"2,035"
12/26/2018,791
12/27/2018,"3,699"
12/28/2018,596
12/29/2018,"1,271"
12/30/2018,"4,212"
12/31/2018,"6,449"
01/01/2019,"5,716"
01/02/2019,"1,904"
01/03/2019,"1,009"
01/04/2019,"3,355"
01/05/2019,"1,909"
01/06/2019,"3,507"
01/07/2019,"7,216"
01/08/2019,941
01/09/2019,912
01/10/2019,"2,573"
01/11/2019,"4,670"
01/12/2019,"9,045"
01/13/2019,"10,935"
01/14/2019,"11,061"
01/15/2019,"6,116"
01/16/2019,"5,547"
01/17/2019,"1,587"
01/18/2019,"2,157"
01/19/2019,"3,528"
01/20/2019,"2,983"
01/21/2019,"5,547"
01/22/2019,"1,036"
01/23/2019,"4,075"
01/24/2019,"3,398"
01/25/2019,"7,176"
01/26/2019,"10,317"
01/27/2019,"1,010"
01/28/2019,"9,868"
01/29/2019,"12,577"
01/30/2019,"6,998"
01/31/2019,"7,252"
02/01/2019,"1,634"
02/02/2019,"2,713"
02/03/2019,"2,528"
02/04/2019,190
02/05/2019,"4,645"
02/06/2019,"13,710"
02/07/2019,"9,963"
02/08/2019,"2,059"
02/09/2019,0
02/10/2019,0
02/11/2019,8
02/12/2019,878
02/13/2019,"2,373"
02/14/2019,"1,811"
02/15/2019,"8,007"
02/16/2019,"3,278"
02/17/2019,"3,555"
02/18/2019,"4,954"
02/19/2019,"1,973"
02/20/2019,"6,364"
02/21/2019,"15,981"
02/22/2019,"1,359"
02/23/2019,"7,167"
02/24/2019,"4,096"
02/25/2019,"14,485"
02/26/2019,"16,176"
02/27/2019,"3,763"
02/28/2019,"16,359"
03/01/2019,"16,513"
03/02/2019,"17,858"
03/03/2019,"17,677"
03/04/2019,"17,749"
03/05/2019,"17,968"
03/06/2019,"2,659"
03/07/2019,"6,452"
03/08/2019,"7,172"
03/09/2019,"16,167"
03/10/2019,"17,860"
03/11/2019,"5,320"
03/12/2019,"8,326"
03/13/2019,"16,226"
03/14/2019,"11,350"
03/15/2019,"16,403"
03/16/2019,"14,058"
03/17/2019,"18,526"
03/18/2019,"18,811"
03/19/2019,"18,683"
03/20/2019,"18,364"
03/21/2019,"15,902"
03/22/2019,"12,422"
03/23/2019,"16,063"
03/24/2019,"12,649"
03/25/2019,"5,359"
03/26/2019,"18,724"
03/27/2019,"12,286"
03/28/2019,"17,222"
03/29/2019,"15,240"
03/30/2019,"20,088"
